Regions,OxfordApplications,OxfordOffers,OxfordAdmitted,CambridgeApplications,CambridgeOffers,CambridgeAdmitted
East Midlands,1797,397,344,2038,575,423
East of England,3706,859,740,4585,1417,1055
London,10281,2406,2075,9421,2681,2081
North East,803,192,162,921,300,228
North West,3135,735,623,2612,737,547
Northern Ireland,399,68,59,460,131,111
Scotland,835,141,128,992,206,154
South East,8429,1934,1699,6657,2049,1636
South West,4104,949,808,2410,736,562
Wales,1316,250,217,897,243,200
West Midlands,2764,576,481,2064,565,413
Yorkshire and The Humber,1904,436,367,2158,626,448
